X,Y,Calc_RA,Calc_Dec,RA_Center,Dec_Center,X_Center,Y_Center,Cat_Obj_RA,Cat_Obj_Dec
350.08521674330757,-74.28705242913608,356.59114552942765,12.790358156009898,356.59295358575787,12.790277033243406,349.65117448546516,-69.70337166164109,0.0,0.0
350.08491105284054,-65.11968563907597,356.59471467870196,12.789869589353977,356.59295358575787,12.790277033243406,349.65117448546516,-69.70337166164109,0.0,0.0
349.21713222762276,-65.1197058941461,356.59476164208814,12.790196178056378,356.59295358575787,12.790277033243406,349.65117448546516,-69.70337166164109,0.0,0.0
349.21746972647117,-74.28705768420622,356.59119249237074,12.790684477132837,356.59295358575787,12.790277033243406,349.65117448546516,-69.70337166164109,0.0,0.0
340.3658625345276,-100.50024009903588,356.58146615513624,12.795410298676897,356.5835577226992,12.795290589006054,339.9321443397471,-95.18829227683146,0.0,0.0
340.3683100799206,-89.87635343434651,356.58560220908976,12.794843497093504,356.5835577226992,12.795290589006054,339.9321443397471,-95.18829227683146,0.0,0.0
339.4984380012587,-89.87633394448679,356.5856492902621,12.795170617110879,356.5835577226992,12.795290589006054,339.9321443397471,-95.18829227683146,0.0,0.0
339.49597859957356,-100.50025060917613,356.5815132199415,12.795737680918602,356.5835577226992,12.795290589006054,339.9321443397471,-95.18829227683146,0.0,0.0
276.0245746758216,118.70626536340897,356.6702967545591,12.80791863999174,356.67078209902166,12.807296236632542,277.4737241193751,120.15473171170558,356.6707809016396,12.807328708365006
276.02522852179396,121.60319552958133,356.6714246263699,12.80776371760362,356.67078209902166,12.807296236632542,277.4737241193751,120.15473171170558,356.6707809016396,12.807328708365006
278.9228735629286,121.60319806000219,356.6712674382818,12.806673833273345,356.67078209902166,12.807296236632542,277.4737241193751,120.15473171170558,356.6707809016396,12.807328708365006
278.92221260917535,118.70626789382983,356.6701395716734,12.806828757643062,356.67078209902166,12.807296236632542,277.4737241193751,120.15473171170558,356.6707809016396,12.807328708365006
315.36664650864714,103.90627207972165,356.6624005210027,12.79391174687473,356.6628860934185,12.793290076903729,316.8138569516602,105.35507357378978,356.6628663359363,12.79327958754428
315.3633334369358,106.80387953743707,356.6635288134195,12.793758313909816,356.6628860934185,12.793290076903729,316.8138569516602,105.35507357378978,356.6628663359363,12.79327958754428
318.2610300293994,106.80387406785792,356.6633716626335,12.792668406932727,356.6628860934185,12.793290076903729,316.8138569516602,105.35507357378978,356.6628663359363,12.79327958754428
318.2643804663846,103.9062676101425,356.66224337341754,12.792822080548504,356.6628860934185,12.793290076903729,316.8138569516602,105.35507357378978,356.6628663359363,12.79327958754428
327.47829670146905,78.71924545078377,356.65193803893357,12.790701055728844,356.6524236076797,12.79007925821256,328.92588313413785,80.16803894485187,356.6524125206935,12.790122932913905
327.4756724298294,81.61682990849917,356.6530662771114,12.790547409509676,356.6524236076797,12.79007925821256,328.92588313413785,80.16803894485187,356.6524125206935,12.790122932913905
330.37346320153273,81.61683243891999,356.65290917194966,12.789457460696275,356.6524236076797,12.79007925821256,328.92588313413785,80.16803894485187,356.6524125206935,12.790122932913905
330.37609383844625,78.71924798120459,356.65178093824795,12.789611103836322,356.6524236076797,12.79007925821256,328.92588313413785,80.16803894485187,356.6524125206935,12.790122932913905
260.357050397388,-30.826760970458714,356.61292573136114,12.821790532534138,356.6134110166141,12.821168345976943,261.80591319453447,-29.378294122162117,356.6134369554206,12.821157582230304
260.35690719842427,-27.929814804286362,356.61405350624614,12.821636153122899,356.6134110166141,12.821168345976943,261.80591319453447,-29.378294122162117,356.6134369554206,12.821157582230304
263.254752099462,-27.929827273865516,356.61389654291105,12.820546159419747,356.6134110166141,12.821168345976943,261.80591319453447,-29.378294122162117,356.6134369554206,12.821157582230304
263.25491919064467,-30.82677344003787,356.61276852698217,12.820700529163313,356.6134110166141,12.821168345976943,261.80591319453447,-29.378294122162117,356.6134369554206,12.821157582230304
377.34251729618984,-103.75899741029842,356.5781965570993,12.781675957300715,356.5786821039547,12.78105385070775,378.79132309817055,-102.31051556200183,356.5786881996473,12.780998957380032
377.34200011412037,-100.86203624412605,356.5793244420913,12.781521865413437,356.5786821039547,12.78105385070775,378.79132309817055,-102.31051556200183,356.5786881996473,12.780998957380032
380.2401370079324,-100.86203371370524,356.57916740098756,12.780431744114784,356.5786821039547,12.78105385070775,378.79132309817055,-102.31051556200183,356.5786881996473,12.780998957380032
380.2406460822208,-103.75899487987756,356.57803976581806,12.780585838453584,356.5786821039547,12.78105385070775,378.79132309817055,-102.31051556200183,356.5786881996473,12.780998957380032
247.05189572248275,14.063465603088396,356.63112530114785,12.824400829833449,356.6329851558248,12.824312741293998,246.61723358067746,18.779506243048303,0.0,0.0
247.0521710142236,23.495527393148496,356.6347978732393,12.823897642521661,356.6329851558248,12.824312741293998,246.61723358067746,18.779506243048303,0.0,0.0
246.18255382210938,23.495546883008213,356.63484501050175,12.824224658718153,356.6329851558248,12.824312741293998,246.61723358067746,18.779506243048303,0.0,0.0
246.1822961471313,14.063485092948113,356.63117243274456,12.824727840066336,356.6329851558248,12.824312741293998,246.61723358067746,18.779506243048303,0.0,0.0
377.2392922085922,-64.75723408388555,356.5933857575756,12.779636961666084,356.59553372956236,12.779509856232163,376.80377897501955,-59.300267652382566,0.0,0.0
377.2381321035225,-53.84330571073931,356.5976346137474,12.779055620206226,356.59553372956236,12.779509856232163,376.80377897501955,-59.300267652382566,0.0,0.0
376.368265741447,-53.84330122087958,356.59768170154916,12.77938299183001,356.59553372956236,12.779509856232163,376.80377897501955,-59.300267652382566,0.0,0.0
